Liu Yu,??,-,Biyobiyo Culture,,2000,t,1
Santa,??,-,Avex,,1998,t,2
Mika,??,-,Avex,,1999,t,3
Rikimaru,??,-,Avex,,1993,t,4
Patrick,???,-,Insight Entertainment,,2003,t,5
Caelan,??,-,Avex,,2001,t,6
Zhou Keyu,???,-,Jaywalk Studio,,2002,t,7
Nine,???,-,Insight Entertainment,,1999,t,8
Lin Mo,??,-,Original Plan,,2002,t,9
Bo Yuan,??,-,White Media,,1993,t,10
Zhang Jiayuan,???,-,Wajijiwa Entertainment,,2002,t,11
Lelush,???,-,King Holdings,,1994,t,12
Liu Zhang,??,-,W8VES,,1999,t,13
Hiroto,????,-,RBW Japan,,2002,t,14
Zhang Xingte,???,-,Weili Entertainment,,2003,t,15
Gan Wangxing,???,-,Yuxiao Media,,2000,t,16
Oscar,???,-,Hot Idol,,1998,t,17
Wu Yuheng,???,-,Pulinsaisi Entertainment,,1996,t,18
Fu Sichao,???,-,Wajijiwa Entertainment,,1999,t,19
Ren Yinpeng,???,-,Wajijiwa Entertainment,,1999,t,20
Zhang Xinyao,???,-,Joy Media,,1994,t,21
Xue Bayi,???,-,Hao Han Entertainment,,1999,t,22
Yu Gengyin,???,-,Yu Gengyin Studio,,1996,t,23
Amu,?????,-,Revive,,1997,t,24
Jing Long,??,-,Individual Trainee,,1997,t,25
Zeng Hanjiang,???,-,M+ Entertainment,,2000,t,26
Hu Yetao,???,-,MISTAR,,2000,t,27
He Yifan,???,-,Heiyao Entertainment,,1998,t,28
Wu Hai,??,-,Hippo Film,,1997,t,29
Xie Xingyang,???,-,Huaishui Entertainment,,1999,t,30
Wei Ziyue,???,-,Mengyang Culture,,1998,t,31
Zhang Teng,??,-,Individual Trainee,,1999,t,32
Rong Yao,??,-,I.E.One Entertainment,,n.a,t,33
